collection_name,timestamp,target_name,target_type,metric_name,metric_column,value
COH_NODE_NodeStatusColl,2025-12-25T14:47:08.937+05:30,/EMGC_GCDomain/GCDomain/defaultCoherenceCluster/EMGC_ADMINSERVER/midev2server,oracle_coherence_node,COH_NODE_NodeStatus,Status,1
COH_CACHE_CacheSizeColl,2025-12-25T14:43:31.513+05:30,"/EMGC_GCDomain/GCDomain/defaultCoherenceCluster/""oracle.wls.internal.wsm:LocalCache""/oracle.wls.internal.wsm.cache.local.sts",oracle_coherence_cache,COH_CACHE_CacheSize,TotalUnits,
COH_CACHE_CacheSizeColl,2025-12-25T14:43:31.513+05:30,"/EMGC_GCDomain/GCDomain/defaultCoherenceCluster/""oracle.wls.internal.wsm:LocalCache""/oracle.wls.internal.wsm.cache.local.sts",oracle_coherence_cache,COH_CACHE_CacheSize,UnitFactor,1
COH_CACHE_CacheSizeColl,2025-12-25T14:43:31.513+05:30,"/EMGC_GCDomain/GCDomain/defaultCoherenceCluster/""oracle.wls.internal.wsm:LocalCache""/oracle.wls.internal.wsm.cache.local.sts",oracle_coherence_cache,COH_CACHE_CacheSize,TotalCacheObjects,0
COH_CACHE_CacheSizeColl,2025-12-25T14:43:31.513+05:30,"/EMGC_GCDomain/GCDomain/defaultCoherenceCluster/""oracle.wls.internal.wsm:LocalCache""/oracle.wls.internal.wsm.cache.local.sts",oracle_coherence_cache,COH_CACHE_CacheSize,TotalMemoryBytes,
COH_CACHE_CacheSizeColl,2025-12-25T14:43:31.513+05:30,"/EMGC_GCDomain/GCDomain/defaultCoherenceCluster/""oracle.wls.internal.wsm:LocalCache""/oracle.wls.internal.wsm.cache.local.sts",oracle_coherence_cache,COH_CACHE_CacheSize,TotalMemoryMB,
COH_CACHE_CacheSizeColl,2025-12-25T14:43:31.513+05:30,"/EMGC_GCDomain/GCDomain/defaultCoherenceCluster/""oracle.wls.internal.wsm:LocalCache""/oracle.wls.internal.wsm.cache.local.sts",oracle_coherence_cache,COH_CACHE_CacheSize,AvgObjectSize,
problemTbsp_10i_Loc,2025-12-25T14:46:15.707+05:30,mitestdb_CDBROOT,oracle_pdb,problemTbsp,name,SYSAUX
problemTbsp_10i_Loc,2025-12-25T14:46:15.707+05:30,mitestdb_CDBROOT,oracle_pdb,problemTbsp,pctUsed,5.77
problemTbsp_10i_Loc,2025-12-25T14:46:15.707+05:30,mitestdb_CDBROOT,oracle_pdb,problemTbsp,bytesFree,30876.172
jvm_metric,2025-12-25T14:43:36.328+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1,weblogic_j2eeserver,jvm,heapUsed.value,905.352
jvm_metric,2025-12-25T14:43:36.328+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1,weblogic_j2eeserver,jvm,heapUsedPercentage.value,54
jvm_metric,2025-12-25T14:43:36.328+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1,weblogic_j2eeserver,jvm,jdkVendor.value,Oracle Corporation
jvm_metric,2025-12-25T14:43:36.328+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1,weblogic_j2eeserver,jvm,jdkVersion.value,1.8.0_261
jvm_metric,2025-12-25T14:43:36.328+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1,weblogic_j2eeserver,jvm,cpuUsage.percentage,0.596
jvm_metric,2025-12-25T14:43:36.328+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1,weblogic_j2eeserver,jvm,daemonThreads.active,270
jvm_metric,2025-12-25T14:43:36.328+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1,weblogic_j2eeserver,jvm,threads.active,275
jvm_metric,2025-12-25T14:43:36.328+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1,weblogic_j2eeserver,jvm,nurserySize.value,
jvm_metric,2025-12-25T14:43:36.328+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1,weblogic_j2eeserver,jvm,heapFree.value,771.226
service_12pdb,2025-12-25T14:47:05.267+05:30,mitestdb_PDB,oracle_pdb,service,instance,mitestdb
service_12pdb,2025-12-25T14:47:05.267+05:30,mitestdb_PDB,oracle_pdb,service,name,pdb
service_12pdb,2025-12-25T14:47:05.267+05:30,mitestdb_PDB,oracle_pdb,service,elapsed_cs,125266.3498284814896551724137931034482759
service_12pdb,2025-12-25T14:47:05.267+05:30,mitestdb_PDB,oracle_pdb,service,cpu_cs,2267.667149580119655172413793103448275862
ejb_pool_metrics,2025-12-25T14:43:57.523+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1,weblogic_j2eeserver,server_ejb_pool,ejbPoolAccess.throughput,0
ejb_pool_metrics,2025-12-25T14:43:57.523+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1,weblogic_j2eeserver,server_ejb_pool,ejbPoolUsed.active,0
ejb_pool_metrics,2025-12-25T14:43:57.523+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1,weblogic_j2eeserver,server_ejb_pool,ejbPoolDestroy.throughput,0
ejb_pool_metrics,2025-12-25T14:43:57.523+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1,weblogic_j2eeserver,server_ejb_pool,ejbPoolFailed.throughput,0
ejb_pool_metrics,2025-12-25T14:43:57.523+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1,weblogic_j2eeserver,server_ejb_pool,ejbPoolAccessSuccess.percentage,0
ejb_pool_metrics,2025-12-25T14:43:57.523+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1,weblogic_j2eeserver,server_ejb_pool,ejbPoolAvailable.active,1
problemTbspTemp_Loc,2025-12-25T14:46:01.593+05:30,mitestdb_PDB,oracle_pdb,problemTbspTemp,name,TEMP
problemTbspTemp_Loc,2025-12-25T14:46:01.593+05:30,mitestdb_PDB,oracle_pdb,problemTbspTemp,pctUsed,0
problemTbspTemp_Loc,2025-12-25T14:46:01.593+05:30,mitestdb_PDB,oracle_pdb,problemTbspTemp,bytesFree,32767.984
COH_NODE_NodeStatusColl,2025-12-25T14:46:08.937+05:30,/EMGC_GCDomain/GCDomain/defaultCoherenceCluster/EMGC_ADMINSERVER/midev2server,oracle_coherence_node,COH_NODE_NodeStatus,Status,1
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/empbs,j2ee_application,deployment_app_ejb_pool,ejbPoolAccess.throughput,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/empbs,j2ee_application,deployment_app_ejb_pool,ejbPoolUsed.active,0
